"","HUC_12","AWDBYHUC","AWD_MGAL"
"251",10200010303,0,0
"252",10200010304,0,0
"253",10200010305,0,0
"254",10200010306,0,0
"255",10200010307,0,0
"256",10200010308,0,0
"257",10200010401,0,0
"258",10200010402,0,0
"259",10200010403,0,0
"260",10200010404,0,0
"261",10200010501,0,0
"262",10200010502,0,0
"263",10200010503,0,0
"264",10200010504,0,0
"265",10200010505,0,0
"266",10200010506,0,0
"267",10200010507,0,0
"268",10200010508,0,0
"269",10200010509,0,0
"270",10200010601,0,0
"271",10200010602,0,0
"272",10200010701,0,0
"273",10200010702,0,0
"274",10200010703,0,0
"275",10200010704,0,0
"276",10200010801,0,0
"277",10200010802,0,0
"278",10200010803,0,0
"279",10200010804,0,0
"280",10200010805,0,0
"281",10200010901,0,0
"282",10200010902,0,0
"283",10200010903,0,0
"284",10200010904,0,0
"285",10200010905,0,0
"286",10200010906,0,0
"287",10200010907,0,0
"288",10200011001,0,0
"289",10200011002,0,0
"290",10200011003,0,0
"291",10200011004,0,0
"292",10200011005,65,6.5e-05
"293",10200011006,0,0
"294",10200011007,0,0
"295",10200020101,0,0
"296",10200020102,0,0
"297",10200020103,0,0
"298",10200020104,0,0
"299",10200020105,0,0
"300",10200020106,0,0
"301",10200020107,0,0
"302",10200020108,0,0
"303",10200020201,0,0
"304",10200020202,0,0
"305",10200020203,0,0
"306",10200020204,0,0
"307",10200020205,0,0
"308",10200020301,0,0
"309",10200020302,0,0
"310",10200020303,0,0
"311",10200020304,0,0
"312",10200020401,0,0
"313",10200020402,0,0
"314",10200020403,0,0
"315",10200020404,0,0
"316",10200020405,0,0
"317",10200020406,0,0
"318",10200020407,0,0
"319",10200020408,0,0
"320",10200020501,0,0
"321",10200020502,0,0
"322",10200020503,0,0
"323",10200020504,0,0
"324",10200020505,0,0
"325",10200020506,0,0
"326",10200020507,0,0
"327",10200030101,0,0
"328",10200030102,0,0
"329",10200030103,0,0
"330",10200030104,0,0
"331",10200030105,0,0
"332",10200030106,0,0
"333",10200030107,1020,0.00102
"334",10200030108,0,0
"335",10200030109,0,0
"336",10200030110,0,0
"337",10200030111,0,0
"338",10200030112,0,0
"339",10200030113,0,0
"340",10200030201,0,0
"341",10200030202,0,0
"342",10200030203,0,0
"343",10200030204,0,0
"344",10200030205,0,0
"345",10200030301,0,0
"346",10200030302,0,0
"347",10200030303,0,0
"348",10200030401,0,0
"349",10200030402,0,0
"350",10200030403,0,0
"351",10200030404,0,0
"352",10200030501,0,0
"353",10200030502,0,0
"354",10200030503,0,0
"355",10200030504,0,0
"356",10200030505,0,0
"357",10200030506,0,0
"358",10200030507,0,0
"359",10200030508,0,0
"360",10200030509,0,0
"361",10200030510,0,0
"362",10200030511,0,0
"363",10200030601,0,0
"364",10200030602,270,0.00027
"365",10200030603,1005,0.001005
"366",10200030604,0,0
"367",10200030605,0,0
"368",10200030606,0,0
"369",10200030607,0,0
"370",10200030701,0,0
"371",10200030702,0,0
"372",10200030703,0,0
"373",10200030704,0,0
"374",10200040101,0,0
"375",10200040102,0,0
"376",10200040103,0,0
"377",10200040104,0,0
"378",10200040105,0,0
"379",10200040106,0,0
"380",10200040107,0,0
"381",10200040108,0,0
"382",10200040109,0,0
"383",10200040110,0,0
"384",10200040111,0,0
"385",10200040201,0,0
"386",10200040202,0,0
"387",10200040203,0,0
"388",10200040204,0,0
"389",10200040205,0,0
"390",10200040301,0,0
"391",10200040302,0,0
"392",10200040303,0,0
"393",10200040304,0,0
"394",10200040305,0,0
"395",10200040306,0,0
"396",10200040307,0,0
"397",10200040308,0,0
"398",10200040309,0,0
"399",10200040310,0,0
"400",10200040311,0,0
"401",10200040312,0,0
"402",10200040401,0,0
"403",10200040402,0,0
"404",10200040403,0,0
"405",10200040404,0,0
"406",10200040405,0,0
"407",10200040406,0,0
"408",10200040407,0,0
"409",10200040408,0,0
"410",10200040409,0,0
"411",10200040410,0,0
"412",10200040501,0,0
"413",10200040502,0,0
"414",10200040503,0,0
"415",10200040504,0,0
"416",10200040601,0,0
"417",10200040602,0,0
"418",10200040603,0,0
"419",10200040604,0,0
"420",10200050101,0,0
"421",10200050102,0,0
"422",10200050103,0,0
"423",10200050104,0,0
"424",10200050201,0,0
"425",10200050202,0,0
"426",10200050203,0,0
"427",10200050204,0,0
"428",10200050205,0,0
"429",10200050206,0,0
"430",10200050207,0,0
"431",10200050208,923,0.000923
"432",10200050301,0,0
"433",10200050302,0,0
"434",10200050303,0,0
"435",10200050304,0,0
"436",10200050305,0,0
"437",10200050306,0,0
"438",10200050307,0,0
"439",10200050308,0,0
"440",10200050309,0,0
"441",10200050310,0,0
"442",10200050311,0,0
"443",10200050401,0,0
"444",10200050402,0,0
"445",10200050403,0,0
"446",10200050404,0,0
"447",10200050405,0,0
"448",10200050406,0,0
"449",10200050407,0,0
"450",10200050408,13,1.3e-05
"451",10200050501,0,0
"452",10200050502,0,0
"453",10200050503,0,0
"454",10200050504,0,0
"455",10200050505,0,0
"456",10200050506,0,0
"457",10200050507,0,0
"458",10200050508,0,0
"459",10200050509,0,0
"460",10200050510,0,0
"461",10200050601,0,0
"462",10200050602,0,0
"463",10200050603,0,0
"464",10200050701,4121,0.004121
"465",10200050702,0,0
"466",10200050703,0,0
"467",10200050704,0,0
"468",10200050705,0,0
"469",10200050706,1092,0.001092
"470",10200050707,0,0
"471",10200050801,0,0
"472",10200050802,0,0
"473",10200050803,0,0
"474",10200050804,0,0
"475",10200050805,793,0.000793
"476",10200050901,0,0
"477",10200050902,0,0
"478",10200050903,0,0
"479",10200050904,0,0
"480",10200050905,0,0
"481",10200050906,0,0
"482",10200051001,0,0
"483",10200051002,0,0
"484",10200051003,0,0
"485",10200051004,0,0
"486",10200051005,0,0
"487",10200051006,462,0.000462
"488",10200051007,0,0
"489",10200051008,0,0
"490",10200051009,0,0
"491",10300010101,0,0
"492",10300010102,0,0
"493",10300010201,0,0
"494",10300010202,0,0
"495",10300010203,0,0
"496",10300010204,0,0
"497",10300010205,0,0
"498",10300010206,0,0
"499",10300010301,0,0
"500",10300010302,0,0
"501",10300010303,0,0
"502",10300010304,0,0
"503",10300010305,0,0
"504",10300010306,0,0
"505",10300010307,0,0
"506",10300010308,0,0
"507",10300010309,0,0
"508",10300010310,0,0
"509",10300010401,0,0
"510",10300010402,0,0
"511",10300010403,0,0
"512",10300010404,0,0
"513",10300010501,0,0
"514",10300010502,0,0
"515",10300010503,0,0
"516",10300010504,0,0
"517",10300010505,0,0
"518",10300010506,0,0
"519",10300010507,0,0
"520",10300010508,0,0
"521",10300010509,0,0
"522",10300010510,0,0
"523",10300010601,0,0
"524",10300010602,0,0
"525",10300010603,0,0
"526",10300010604,0,0
"527",10300010605,0,0
"528",10300010606,0,0
"529",10300010607,0,0
"530",10300010608,0,0
"531",10300010609,0,0
"532",10300010610,0,0
"533",10300020101,0,0
"534",10300020102,0,0
"535",10300020103,0,0
"536",10300020104,0,0
"537",10300020105,0,0
"538",10300020106,0,0
"539",10300020201,0,0
"540",10300020202,0,0
"541",10300020203,0,0
"542",10300020204,0,0
"543",10300020301,0,0
"544",10300020302,0,0
"545",10300020303,0,0
"546",10300020304,0,0
"547",10300020401,0,0
"548",10300020402,0,0
"549",10300020403,0,0
"550",10300020404,0,0
"551",10300020405,0,0
"552",10300020406,0,0
"553",10300020501,0,0
"554",10300020502,0,0
"555",10300020503,0,0
"556",10300020504,0,0
"557",10300020505,0,0
"558",10300020506,0,0
"559",10300030101,0,0
"560",10300030102,0,0
"561",10300030103,0,0
"562",10300030104,0,0
"563",10300030105,0,0
"564",10300030106,0,0
"565",10300030201,0,0
"566",10300030202,0,0
"567",10300030203,0,0
"568",10300030301,0,0
"569",10300030302,0,0
"570",10300030303,0,0
"571",10300030304,0,0
"572",10300030401,0,0
"573",10300030402,0,0
"574",10300030501,0,0
"575",10300030502,0,0
"576",10300030503,0,0
"577",10300030601,0,0
"578",10300030602,0,0
"579",10300030701,0,0
"580",10300030702,0,0
"581",10300030703,0,0
"582",10300030801,0,0
"583",10300030802,0,0
"584",10300030803,0,0
"585",10300030804,0,0
"586",10300030901,0,0
"587",10300030902,0,0
"588",10300030903,0,0
"589",10300030904,0,0
"590",10300030905,0,0
"591",10300031001,0,0
"592",10300031002,0,0
"593",10300031003,0,0
"594",10300031004,0,0
"595",10300031101,0,0
"596",10300031102,0,0
"597",10300031103,0,0
"598",10300031201,0,0
"599",10300031202,0,0
"600",10300031203,0,0
"601",10300031204,0,0
"602",10300031205,0,0
"603",10300031206,0,0
"604",10300031301,0,0
"605",10300031302,0,0
"606",10300031401,0,0
"607",10300031402,0,0
"608",10300031403,0,0
"609",10300031404,0,0
"610",10300031405,0,0
"611",10300031501,0,0
"612",10300031502,0,0
"613",10300031503,0,0
"614",10300031504,0,0
"615",10300031505,0,0
"616",10300031506,0,0
"617",10300031507,480,0.00048
"618",10300031601,0,0
"619",10300031602,0,0
"620",10300031603,0,0
"621",10300031604,0,0
"622",10300031605,0,0
"623",10300031606,0,0
"624",10300031701,0,0
"625",10300031702,0,0
"626",10300031801,0,0
"627",10300031802,0,0
"628",10300031803,7696,0.007696
"629",10300031804,0,0
"630",10300031805,0,0
"631",10300031806,0,0
"632",10300031901,0,0
"633",10300031902,0,0
"634",10300031903,0,0
"635",10300031904,0,0
"636",10300032001,0,0
"637",10300032002,0,0
"638",10300032003,0,0
"639",10300032004,0,0
"640",10300032005,0,0
"641",10300032101,0,0
"642",10300032102,0,0
"643",10300032103,0,0
"644",10300032104,0,0
"645",10300032105,0,0
"646",10300032106,0,0
"647",10300032201,0,0
"648",10300032202,0,0
"649",10300032203,0,0
"650",10300032204,2640,0.00264
"651",10300032205,0,0
"652",10300032301,0,0
"653",10300032302,0,0
"654",10300032303,0,0
"655",10300032304,0,0
"656",10300032305,0,0
"657",10300032306,0,0
"658",10300032307,0,0
"659",10300032308,0,0
"660",10300032309,0,0
"661",10300032401,0,0
"662",10300032402,0,0
"663",10300032403,0,0
"664",10300032404,0,0
"665",10300032405,420,0.00042
"666",10300032406,0,0
"667",10300032407,0,0
"668",10300032408,0,0
"669",10300032409,60,6e-05
"670",10400010101,0,0
"671",10400010102,0,0
"672",10400010103,0,0
"673",10400010104,0,0
"674",10400010105,0,0
"675",10400010106,0,0
"676",10400010107,0,0
"677",10400010108,0,0
"678",10400010109,0,0
"679",10400010110,0,0
"680",10400010201,0,0
"681",10400010202,0,0
"682",10400010203,0,0
"683",10400010301,0,0
"684",10400010302,0,0
"685",10400010303,0,0
"686",10400010304,0,0
"687",10400010305,0,0
"688",10400010306,0,0
"689",10400010401,0,0
"690",10400010402,0,0
"691",10400010403,0,0
"692",10400010404,0,0
"693",10400010405,0,0
"694",10400010406,0,0
"695",10400010501,0,0
"696",10400010502,0,0
"697",10400010601,0,0
"698",10400010602,0,0
