"","SUM_INDGAL","HUC_12","IWD_MGAL"
"198",3321890,10300031501,3.32189
"199",301990,10300031502,0.30199
"200",452985,10300031504,0.452985
"201",301990,10300031505,0.30199
"202",1358955,10300031506,1.358955
"203",1398775,10300031507,1.398775
"204",150995,10300031601,0.150995
"205",466761,10300031602,0.466761
"206",119420,10300031604,0.11942
"207",155587,10300031605,0.155587
"208",905970,10300031606,0.90597
"209",603980,10300031701,0.60398
"210",754975,10300031702,0.754975
"211",114828,10300031801,0.114828
"212",574140,10300031802,0.57414
"213",287070,10300031803,0.28707
"214",574140,10300031806,0.57414
"215",401898,10300031901,0.401898
"216",172242,10300031902,0.172242
"217",2120257,10300031903,2.120257
"218",1665979,10300031904,1.665979
"219",10068,10300032001,0.010068
"220",15102,10300032002,0.015102
"221",15102,10300032003,0.015102
"222",10068,10300032004,0.010068
"223",10068,10300032005,0.010068
"224",14084,10300032101,0.014084
"225",318280,10300032102,0.31828
"226",9050,10300032103,0.00905
"227",23530,10300032104,0.02353
"228",14480,10300032105,0.01448
"229",35804,10300032106,0.035804
"230",150995,10300032201,0.150995
"231",163665,10300032202,0.163665
"232",10860,10300032203,0.01086
"233",25340,10300032204,0.02534
"234",780315,10300032205,0.780315
"235",27150,10300032301,0.02715
"236",5430,10300032302,0.00543
"237",41630,10300032303,0.04163
"238",5430,10300032304,0.00543
"239",21720,10300032305,0.02172
"240",7240,10300032306,0.00724
"241",3620,10300032307,0.00362
"242",5430,10300032308,0.00543
"243",37208,10300032309,0.037208
"244",7240,10300032401,0.00724
"245",3620,10300032402,0.00362
"246",9050,10300032403,0.00905
"247",57920,10300032404,0.05792
"248",32580,10300032405,0.03258
"249",5430,10300032406,0.00543
"250",3620,10300032407,0.00362
"251",17112,10300032408,0.017112
"252",118514,10300032409,0.118514
"253",27456,10400010107,0.027456
"254",2288,10400010109,0.002288
"255",279238,10400010202,0.279238
"256",552576,10400010502,0.552576
"257",184192,10400010603,0.184192
"258",3868032,10400010606,3.868032
"259",2394496,10400010607,2.394496
"260",736768,10400020101,0.736768
"261",1105152,10400020102,1.105152
"262",736768,10400020103,0.736768
"263",279238,10400020202,0.279238
"264",977333,10400020203,0.977333
"265",2373523,10400020204,2.373523
"266",139619,10400020205,0.139619
"267",1256571,10400020207,1.256571
"268",279238,10400020303,0.279238
