"","HUC_12","Terrestrial_Acres","Rare_Acres","Protected_Rare_Acres","Percent_of_HUC_Rare","Percent_Rare_Area_Protected"
"940",180102030304,14380,206.6,199.93,1.44,96.77
"941",171200051409,52869,1409.76,1363.72,2.67,96.73
"942",171100100202,15152,5562.09,5377.72,36.71,96.69
"943",10600020101,30203,272.43,263.32,0.9,96.65
"944",40202030101,19570,264.2,255.31,1.35,96.63
"945",171001010602,33852,1905.92,1841.43,5.63,96.62
"946",171100050502,12149,3579.66,3458.01,29.46,96.6
"947",20403030603,2003,1192.26,1151.56,59.51,96.59
"948",150100110803,36478,110.31,106.53,0.3,96.57
"949",171003070106,20855,3577.89,3454.46,17.16,96.55
"950",31700090703,2961,2169.9,2094.51,73.29,96.53
"951",170800050402,20930,171.24,165.02,0.82,96.36
"952",30602040802,197,194.6,187.48,98.87,96.34
"953",171200090402,26944,5477.14,5275.42,20.33,96.32
"954",180500050401,19283,4098.29,3947.28,21.25,96.32
"955",170601060304,12486,93.41,89.85,0.75,96.19
"956",180101050106,15936,11.56,11.12,0.07,96.15
"957",171003070103,16602,2486.59,2390.74,14.98,96.15
"958",160402010103,27197,1596.79,1534.52,5.87,96.1
"959",170702040404,36421,130.32,125.21,0.36,96.08
"960",171200090403,18493,889.13,854,4.81,96.05
"961",170800010101,22222,1271.65,1221.39,5.72,96.05
"962",170102051002,19433,5.56,5.34,0.03,96
"963",170300031107,25996,86.73,83.18,0.33,95.9
"964",170703010103,9168,4237.29,4063.37,46.22,95.9
"965",170900050101,13047,2666.73,2556.2,20.44,95.86
"966",31401020800,981,271.32,259.76,27.65,95.74
"967",171200090502,38812,812.85,778.16,2.09,95.73
"968",170703020101,12590,3051.03,2920.26,24.23,95.71
"969",170200090203,23999,5121.97,4900.69,21.34,95.68
"970",171200030202,18958,35.58,34.03,0.19,95.63
"971",31200011002,25863,30.02,28.69,0.12,95.56
"972",171100050602,23138,6099.4,5827.18,26.36,95.54
"973",171100170201,31808,7467.12,7127.75,23.48,95.46
"974",180101040201,13755,4.89,4.67,0.04,95.45
"975",171200081110,19511,9.56,9.12,0.05,95.35
"976",180102030301,27682,1400.64,1335.48,5.06,95.35
"977",40700030305,27950,14.23,13.57,0.05,95.31
"978",171100090501,17698,4231.73,4032.9,23.91,95.3
"979",20403030402,6894,1234.29,1176.25,17.9,95.3
"980",10900020201,7512,4865.99,4636.48,64.78,95.28
"981",171003070801,20044,255.98,243.74,1.28,95.22
