"","HUC_12","Terrestrial_Acres","Rare_Acres","Protected_Rare_Acres","Percent_of_HUC_Rare","Percent_Rare_Area_Protected"
"20000",71300030401,10912,0,NA,0,NA
"20001",101401040307,10913,0,NA,0,NA
"20002",111302050201,10913,0,NA,0,NA
"20003",150100040101,10914,0,NA,0,NA
"20004",160102010101,10914,0,NA,0,NA
"20005",30402040507,10915,0,NA,0,NA
"20006",102702060305,10915,0,NA,0,NA
"20007",160202020302,10916,0,NA,0,NA
"20008",10500022202,10916,0,NA,0,NA
"20009",150400050708,10917,0,NA,0,NA
"20010",130100010202,10917,0,NA,0,NA
"20011",150502030902,10917,0,NA,0,NA
"20012",70700050702,10918,0,NA,0,NA
"20013",170401040202,10919,0,NA,0,NA
"20014",31300110402,10919,0,NA,0,NA
"20015",20402010302,10920,0,NA,0,NA
"20016",180600051506,10920,0,NA,0,NA
"20017",170402040205,10920,0,NA,0,NA
"20018",20301030202,10921,0,NA,0,NA
"20019",150100020803,10921,0,NA,0,NA
"20020",160402021101,10921,0,NA,0,NA
"20021",120301010409,10922,0,NA,0,NA
"20022",50301050101,10923,0,NA,0,NA
"20023",150200100109,10923,0,NA,0,NA
"20024",20502040103,10925,0,NA,0,NA
"20025",71200020801,10925,0,NA,0,NA
"20026",51202011701,10925,0,NA,0,NA
"20027",20501030601,10926,0,NA,0,NA
"20028",110100020601,10926,0,NA,0,NA
"20029",100200030501,10926,0,NA,0,NA
"20030",71000010503,10926,0,NA,0,NA
"20031",180201530201,10926,0,NA,0,NA
"20032",51401010401,10926,0,NA,0,NA
"20033",31501020706,10926,0,NA,0,NA
"20034",71000020104,10927,0,NA,0,NA
"20035",71401080302,10927,0,NA,0,NA
"20036",50100070303,10927,0,NA,0,NA
"20037",130302010808,10927,0,NA,0,NA
"20038",51201020104,10928,0,NA,0,NA
"20039",101401021101,10928,0,NA,0,NA
"20040",180902062102,10928,0,NA,0,NA
"20041",120800080110,10928,0,NA,0,NA
"20042",150400070201,10929,0,NA,0,NA
"20043",10700060803,10929,0,NA,0,NA
"20044",50400060405,10929,0,NA,0,NA
"20045",100200011402,10930,0,NA,0,NA
"20046",80401020803,10930,0,NA,0,NA
"20047",102300031001,10930,0,NA,0,NA
"20048",51201011005,10930,0,NA,0,NA
"20049",101101010301,10930,0,NA,0,NA
"20050",50600020101,10932,0,NA,0,NA
"20051",180800020106,10932,0,NA,0,NA
"20052",41402030201,10932,0,NA,0,NA
"20053",160300040103,10933,0,NA,0,NA
"20054",51201030201,10933,0,NA,0,NA
"20055",51401040301,10933,0,NA,0,NA
"20056",171003040205,10933,0,NA,0,NA
"20057",170102110105,10934,0,NA,0,NA
"20058",71401060803,10934,0,NA,0,NA
"20059",130100020706,10934,0,NA,0,NA
"20060",70500010208,10934,0,NA,0,NA
"20061",30702050103,10936,0,NA,0,NA
"20062",80802050203,10936,0,NA,0,NA
"20063",60101050206,10936,0,NA,0,NA
"20064",70200041003,10937,0,NA,0,NA
"20065",101800091003,10938,0,NA,0,NA
"20066",160600080105,10938,0,NA,0,NA
"20067",170602020302,10939,0,NA,0,NA
"20068",110902040306,10939,0,NA,0,NA
"20069",101201060505,10939,0,NA,0,NA
"20070",31501010503,10939,0,NA,0,NA
"20071",70802050902,10939,0,NA,0,NA
"20072",50100030301,10940,0,NA,0,NA
"20073",102002020201,10940,0,NA,0,NA
"20074",70500050402,10940,0,NA,0,NA
"20075",111102010806,10940,0,NA,0,NA
"20076",40102010603,10941,0,NA,0,NA
"20077",20402030205,10942,0,NA,0,NA
"20078",41000020103,10944,0,NA,0,NA
"20079",50302031206,10944,0,NA,0,NA
"20080",20502060505,10945,0,NA,0,NA
"20081",101500030502,10945,0,NA,0,NA
"20082",50301010206,10945,0,NA,0,NA
"20083",70900031601,10946,0,NA,0,NA
"20084",50400020104,10946,0,NA,0,NA
"20085",20700080703,10946,0,NA,0,NA
"20086",40500040607,10946,0,NA,0,NA
"20087",40301060402,10948,0,NA,0,NA
"20088",71200061005,10949,0,NA,0,NA
"20089",180400130801,10949,0,NA,0,NA
"20090",100200011101,10949,0,NA,0,NA
"20091",180102020604,10949,0,NA,0,NA
"20092",101900180501,10950,0,NA,0,NA
"20093",71200011201,10950,0,NA,0,NA
"20094",40301070104,10951,0,NA,0,NA
"20095",101702031906,10951,0,NA,0,NA
"20096",90300010602,10952,0,NA,0,NA
"20097",180400030906,10952,0,NA,0,NA
"20098",101102050203,10952,0,NA,0,NA
"20099",150302010408,10953,0,NA,0,NA
"20100",110200110202,10953,0,NA,0,NA
"20101",140600050206,10953,0,NA,0,NA
"20102",170102051301,10953,0,NA,0,NA
"20103",71402020602,10954,0,NA,0,NA
"20104",102300031203,10954,0,NA,0,NA
"20105",140801061502,10954,0,NA,0,NA
"20106",180400030404,10954,0,NA,0,NA
"20107",40500010203,10954,0,NA,0,NA
"20108",111302080206,10955,0,NA,0,NA
"20109",180400030501,10955,0,NA,0,NA
"20110",102400080101,10955,0,NA,0,NA
"20111",150501000102,10955,0,NA,0,NA
"20112",170602011203,10955,0,NA,0,NA
"20113",150200081001,10956,0,NA,0,NA
"20114",102100050404,10956,0,NA,0,NA
"20115",51202070104,10956,0,NA,0,NA
"20116",102400120103,10956,0,NA,0,NA
"20117",150601010309,10957,0,NA,0,NA
"20118",160300020502,10957,0,NA,0,NA
"20119",150100030606,10958,0,NA,0,NA
"20120",40301080408,10958,0,NA,0,NA
"20121",140600031401,10958,0,NA,0,NA
"20122",71200020404,10958,0,NA,0,NA
"20123",31601080504,10959,0,NA,0,NA
"20124",71402010604,10959,0,NA,0,NA
"20125",50200050202,10960,0,NA,0,NA
"20126",20401020504,10960,0,NA,0,NA
"20127",51001010403,10961,0,NA,0,NA
"20128",110701010108,10962,0,NA,0,NA
"20129",51201120805,10962,0,NA,0,NA
"20130",50301010502,10963,0,NA,0,NA
"20131",70900030202,10963,0,NA,0,NA
"20132",102100040302,10964,0,NA,0,NA
"20133",90203080203,10964,0,NA,0,NA
"20134",110901010106,10965,0,NA,0,NA
"20135",10801070305,10965,0,NA,0,NA
"20136",20501011003,10965,0,NA,0,NA
"20137",111203020408,10966,0,NA,0,NA
"20138",71402020609,10967,0,NA,0,NA
"20139",80602050502,10967,0,NA,0,NA
"20140",51401010201,10967,0,NA,0,NA
"20141",180300040307,10968,0,NA,0,NA
"20142",60200010803,10968,0,NA,0,NA
"20143",50902010503,10968,0,NA,0,NA
"20144",180300050602,10969,0,NA,0,NA
"20145",140802040304,10970,0,NA,0,NA
"20146",30300040402,10970,0,NA,0,NA
"20147",40201020207,10972,0,NA,0,NA
"20148",20200080301,10972,0,NA,0,NA
"20149",51401020501,10973,0,NA,0,NA
"20150",70300050803,10973,0,NA,0,NA
"20151",170602030704,10973,0,NA,0,NA
"20152",100800140204,10973,0,NA,0,NA
"20153",51401020903,10973,0,NA,0,NA
"20154",100200050603,10974,0,NA,0,NA
"20155",100500020804,10975,0,NA,0,NA
"20156",100301011203,10975,0,NA,0,NA
"20157",170402040602,10975,0,NA,0,NA
"20158",20503060803,10975,0,NA,0,NA
"20159",40500030204,10975,0,NA,0,NA
"20160",70300020404,10976,0,NA,0,NA
"20161",40802020101,10976,0,NA,0,NA
"20162",100301011902,10976,0,NA,0,NA
"20163",60400050805,10976,0,NA,0,NA
"20164",71100010305,10976,0,NA,0,NA
"20165",170501120201,10977,0,NA,0,NA
"20166",101900020406,10977,0,NA,0,NA
"20167",41503050603,10977,0,NA,0,NA
"20168",71402040904,10977,0,NA,0,NA
"20169",70700010801,10978,0,NA,0,NA
"20170",90202020605,10978,0,NA,0,NA
"20171",80602030602,10979,0,NA,0,NA
"20172",40500060504,10979,0,NA,0,NA
"20173",171003020801,10979,0,NA,0,NA
"20174",110800050307,10979,0,NA,0,NA
"20175",110100030705,10980,0,NA,0,NA
"20176",10801070307,10980,0,NA,0,NA
"20177",110200110501,10982,0,NA,0,NA
"20178",70200030301,10982,0,NA,0,NA
"20179",140500020610,10983,0,NA,0,NA
"20180",160503040301,10983,0,NA,0,NA
"20181",100200040406,10983,0,NA,0,NA
"20182",170402110108,10984,0,NA,0,NA
"20183",11000020101,10984,0,NA,0,NA
"20184",170501200502,10984,0,NA,0,NA
"20185",150801010406,10984,0,NA,0,NA
"20186",101303050809,10985,0,NA,0,NA
"20187",111401050504,10985,0,NA,0,NA
"20188",41000040601,10985,0,NA,0,NA
"20189",111102020302,10985,0,NA,0,NA
"20190",170102050405,10985,0,NA,0,NA
"20191",70200071101,10986,0,NA,0,NA
"20192",140200030304,10986,0,NA,0,NA
"20193",51201111903,10987,0,NA,0,NA
"20194",51201030104,10988,0,NA,0,NA
"20195",30402040501,10989,0,NA,0,NA
"20196",70900021501,10989,0,NA,0,NA
"20197",102600100505,10989,0,NA,0,NA
"20198",170501130601,10990,0,NA,0,NA
"20199",140802040802,10990,0,NA,0,NA
"20200",140600040504,10991,0,NA,0,NA
"20201",10200050508,10991,0,NA,0,NA
"20202",31401010803,10991,0,NA,0,NA
"20203",180800031405,10991,0,NA,0,NA
"20204",120401030306,10992,0,NA,0,NA
"20205",150400050604,10992,0,NA,0,NA
"20206",140801010802,10992,0,NA,0,NA
"20207",160203060602,10992,0,NA,0,NA
"20208",10100050404,10992,0,NA,0,NA
"20209",100800080203,10992,0,NA,0,NA
"20210",80202040709,10992,0,NA,0,NA
"20211",70900010601,10993,0,NA,0,NA
"20212",70102020103,10994,0,NA,0,NA
"20213",150100110404,10995,0,NA,0,NA
"20214",101301020502,10995,0,NA,0,NA
"20215",70801040503,10995,0,NA,0,NA
"20216",50500020603,10996,0,NA,0,NA
"20217",51201011506,10996,0,NA,0,NA
"20218",111202020106,10996,0,NA,0,NA
"20219",70101010304,10997,0,NA,0,NA
"20220",120701020301,10998,0,NA,0,NA
"20221",150701040404,10998,0,NA,0,NA
"20222",130402030107,10998,0,NA,0,NA
"20223",171200041101,10999,0,NA,0,NA
"20224",70700040106,11000,0,NA,0,NA
"20225",101303020501,11001,0,NA,0,NA
"20226",51202090502,11002,0,NA,0,NA
"20227",71000081501,11002,0,NA,0,NA
"20228",171200020307,11003,0,NA,0,NA
"20229",100301010705,11003,0,NA,0,NA
"20230",170102100502,11004,0,NA,0,NA
"20231",120901100201,11004,0,NA,0,NA
"20232",170402190102,11005,0,NA,0,NA
"20233",100401041109,11006,0,NA,0,NA
"20234",90201080403,11007,0,NA,0,NA
"20235",70101050401,11007,0,NA,0,NA
"20236",180200050401,11007,0,NA,0,NA
"20237",101302020511,11008,0,NA,0,NA
"20238",170501130602,11008,0,NA,0,NA
"20239",80102080508,11008,0,NA,0,NA
"20240",130700090107,11008,0,NA,0,NA
"20241",50400060404,11008,0,NA,0,NA
"20242",160600060402,11008,0,NA,0,NA
"20243",20401060301,11009,0,NA,0,NA
"20244",70400060306,11009,0,NA,0,NA
"20245",171002040101,11010,0,NA,0,NA
"20246",71200010312,11010,0,NA,0,NA
"20247",150200180107,11010,0,NA,0,NA
"20248",50600030402,11010,0,NA,0,NA
"20249",51202011204,11010,0,NA,0,NA
"20250",41504030503,11010,0,NA,0,NA
"20251",51202010603,11011,0,NA,0,NA
"20252",70802090501,11011,0,NA,0,NA
"20253",110200030405,11011,0,NA,0,NA
"20254",20502050404,11011,0,NA,0,NA
"20255",31700090406,11011,0,NA,0,NA
"20256",140801012004,11012,0,NA,0,NA
"20257",80901000208,11013,0,NA,0,NA
"20258",150301010212,11013,0,NA,0,NA
"20259",130700080306,11014,0,NA,0,NA
"20260",102300031208,11015,0,NA,0,NA
"20261",160202020105,11016,0,NA,0,NA
"20262",101800100802,11016,0,NA,0,NA
"20263",160502030305,11017,0,NA,0,NA
"20264",140600070802,11017,0,NA,0,NA
"20265",102300070208,11017,0,NA,0,NA
"20266",30402060903,11017,0,NA,0,NA
"20267",20700040406,11017,0,NA,0,NA
"20268",70200120602,11018,0,NA,0,NA
"20269",71100060505,11019,0,NA,0,NA
"20270",30601060903,11019,0,NA,0,NA
"20271",51301060303,11019,0,NA,0,NA
"20272",180300040305,11020,0,NA,0,NA
"20273",150200020610,11020,0,NA,0,NA
"20274",120601030204,11020,0,NA,0,NA
"20275",160300060305,11021,0,NA,0,NA
"20276",180201220802,11022,0,NA,0,NA
"20277",20700030401,11022,0,NA,0,NA
"20278",50600021402,11022,0,NA,0,NA
"20279",71100010201,11022,0,NA,0,NA
"20280",170103040504,11022,0,NA,0,NA
"20281",31300031311,11025,0,NA,0,NA
"20282",150503040205,11025,0,NA,0,NA
"20283",100700021301,11025,0,NA,0,NA
"20284",70300010205,11025,0,NA,0,NA
"20285",110300150104,11026,0,NA,0,NA
"20286",150701030202,11026,0,NA,0,NA
"20287",20301010103,11027,0,NA,0,NA
"20288",70400020304,11027,0,NA,0,NA
"20289",110200011303,11028,0,NA,0,NA
"20290",102901110205,11028,0,NA,0,NA
"20291",71300070301,11029,0,NA,0,NA
"20292",51201080405,11031,0,NA,0,NA
"20293",51202010504,11031,0,NA,0,NA
"20294",40201030306,11031,0,NA,0,NA
"20295",71402010802,11031,0,NA,0,NA
"20296",170602040801,11032,0,NA,0,NA
"20297",70200051104,11032,0,NA,0,NA
"20298",50400040304,11033,0,NA,0,NA
"20299",101000012104,11033,0,NA,0,NA
"20300",100800020202,11033,0,NA,0,NA
"20301",51401020402,11034,0,NA,0,NA
"20302",170102040810,11034,0,NA,0,NA
"20303",50600021002,11034,0,NA,0,NA
"20304",180201580103,11035,0,NA,0,NA
"20305",30402031403,11035,0,NA,0,NA
"20306",20301030102,11035,0,NA,0,NA
"20307",171100210103,11036,0,NA,0,NA
"20308",150100130605,11037,0,NA,0,NA
"20309",180300120402,11037,0,NA,0,NA
"20310",140600020502,11038,0,NA,0,NA
"20311",51202060301,11038,0,NA,0,NA
"20312",80403040602,11038,0,NA,0,NA
"20313",101800021304,11039,0,NA,0,NA
"20314",30402070106,11040,0,NA,0,NA
"20315",71000030805,11040,0,NA,0,NA
"20316",70200010407,11040,0,NA,0,NA
"20317",140801010301,11040,0,NA,0,NA
"20318",160600030103,11040,0,NA,0,NA
"20319",31300051304,11040,0,NA,0,NA
"20320",102001020304,11040,0,NA,0,NA
"20321",50301030805,11040,0,NA,0,NA
"20322",150503040207,11041,0,NA,0,NA
"20323",50600011203,11041,0,NA,0,NA
"20324",111002010303,11041,0,NA,0,NA
"20325",10200050302,11041,0,NA,0,NA
"20326",71401061013,11042,0,NA,0,NA
"20327",90202040201,11042,0,NA,0,NA
"20328",70900050601,11043,0,NA,0,NA
"20329",101201110803,11043,0,NA,0,NA
"20330",70900060606,11043,0,NA,0,NA
"20331",20502010705,11044,0,NA,0,NA
"20332",30102030203,11044,0,NA,0,NA
"20333",170602020310,11045,0,NA,0,NA
"20334",150502020605,11047,0,NA,0,NA
"20335",10200040106,11047,0,NA,0,NA
"20336",50800030201,11047,0,NA,0,NA
"20337",70101060210,11047,0,NA,0,NA
"20338",51202040201,11049,0,NA,0,NA
"20339",11000050401,11049,0,NA,0,NA
"20340",30102030305,11049,0,NA,0,NA
"20341",70102040205,11049,0,NA,0,NA
"20342",100700021101,11050,0,NA,0,NA
"20343",51201061102,11051,0,NA,0,NA
"20344",50902010205,11051,0,NA,0,NA
"20345",150400020802,11051,0,NA,0,NA
"20346",171100180106,11052,0,NA,0,NA
"20347",102702020606,11052,0,NA,0,NA
"20348",160201010704,11053,0,NA,0,NA
"20349",101702040109,11054,0,NA,0,NA
"20350",70900040103,11054,0,NA,0,NA
"20351",31601020501,11054,0,NA,0,NA
"20352",20700060402,11055,0,NA,0,NA
"20353",10100020402,11055,0,NA,0,NA
"20354",51201040509,11055,0,NA,0,NA
"20355",101600040101,11055,0,NA,0,NA
"20356",100700060102,11056,0,NA,0,NA
"20357",70802090903,11057,0,NA,0,NA
"20358",30402030204,11057,0,NA,0,NA
"20359",90300060301,11057,0,NA,0,NA
"20360",130402040305,11058,0,NA,0,NA
"20361",30402020403,11058,0,NA,0,NA
"20362",40500040606,11059,0,NA,0,NA
"20363",70101010402,11059,0,NA,0,NA
"20364",40900010210,11059,0,NA,0,NA
"20365",180902040404,11060,0,NA,0,NA
"20366",11000051204,11061,0,NA,0,NA
"20367",51201121003,11061,0,NA,0,NA
"20368",71200021303,11062,0,NA,0,NA
"20369",102002020105,11062,0,NA,0,NA
"20370",71000061402,11062,0,NA,0,NA
"20371",110702080107,11062,0,NA,0,NA
"20372",70300050603,11062,0,NA,0,NA
"20373",50200050404,11063,0,NA,0,NA
"20374",40500030910,11063,0,NA,0,NA
"20375",70200090701,11063,0,NA,0,NA
"20376",31501020203,11063,0,NA,0,NA
"20377",40500050304,11063,0,NA,0,NA
"20378",50400020801,11063,0,NA,0,NA
"20379",40201030402,11064,0,NA,0,NA
"20380",71100050107,11064,0,NA,0,NA
"20381",170602031105,11064,0,NA,0,NA
"20382",70400030104,11064,0,NA,0,NA
"20383",90100060604,11064,0,NA,0,NA
"20384",101402011302,11065,0,NA,0,NA
"20385",31102020602,11067,0,NA,0,NA
"20386",101701010702,11067,0,NA,0,NA
"20387",150400050101,11067,0,NA,0,NA
"20388",101800100710,11068,0,NA,0,NA
"20389",30102030503,11068,0,NA,0,NA
"20390",140801010402,11068,0,NA,0,NA
"20391",90100081004,11069,0,NA,0,NA
"20392",20700020102,11069,0,NA,0,NA
"20393",150602010601,11069,0,NA,0,NA
"20394",140600070204,11069,0,NA,0,NA
"20395",121101070201,11070,0,NA,0,NA
"20396",60102010202,11070,0,NA,0,NA
"20397",20503050303,11070,0,NA,0,NA
"20398",51201070301,11070,0,NA,0,NA
"20399",140500011107,11071,0,NA,0,NA
"20400",170402160106,11072,0,NA,0,NA
"20401",51402011002,11072,0,NA,0,NA
"20402",50100020103,11072,0,NA,0,NA
"20403",101600061007,11073,0,NA,0,NA
"20404",101900070103,11073,0,NA,0,NA
"20405",50800030501,11074,0,NA,0,NA
"20406",31800040402,11074,0,NA,0,NA
"20407",40601060508,11075,0,NA,0,NA
"20408",40400030104,11075,0,NA,0,NA
"20409",160600100205,11075,0,NA,0,NA
"20410",171002020304,11076,0,NA,0,NA
"20411",51402020303,11076,0,NA,0,NA
"20412",51201011403,11077,0,NA,0,NA
"20413",30202020405,11078,0,NA,0,NA
"20414",50200050401,11078,0,NA,0,NA
"20415",41000060302,11078,0,NA,0,NA
"20416",51202090601,11079,0,NA,0,NA
"20417",10100020405,11080,0,NA,0,NA
"20418",170402170503,11080,0,NA,0,NA
"20419",20501040902,11080,0,NA,0,NA
"20420",70802090802,11081,0,NA,0,NA
"20421",70700010101,11081,0,NA,0,NA
"20422",50600011701,11081,0,NA,0,NA
"20423",130500031404,11082,0,NA,0,NA
"20424",40801030201,11082,0,NA,0,NA
"20425",40500020407,11083,0,NA,0,NA
"20426",100200020401,11083,0,NA,0,NA
"20427",111102021004,11083,0,NA,0,NA
"20428",101600030205,11083,0,NA,0,NA
"20429",101402040105,11083,0,NA,0,NA
"20430",31601080202,11083,0,NA,0,NA
"20431",20700100604,11084,0,NA,0,NA
"20432",51401021205,11084,0,NA,0,NA
"20433",130800010501,11085,0,NA,0,NA
"20434",100302050104,11086,0,NA,0,NA
"20435",71402040703,11086,0,NA,0,NA
"20436",20401060307,11086,0,NA,0,NA
"20437",160600082301,11086,0,NA,0,NA
"20438",180400010901,11086,0,NA,0,NA
"20439",170800030207,11087,0,NA,0,NA
"20440",51202081407,11087,0,NA,0,NA
"20441",40302020801,11088,0,NA,0,NA
"20442",51201011001,11088,0,NA,0,NA
"20443",170103010103,11088,0,NA,0,NA
"20444",150200050202,11088,0,NA,0,NA
"20445",50301060906,11088,0,NA,0,NA
"20446",101402030206,11088,0,NA,0,NA
"20447",180902040202,11088,0,NA,0,NA
"20448",70200120201,11089,0,NA,0,NA
"20449",30402050102,11089,0,NA,0,NA
"20450",50301020505,11089,0,NA,0,NA
"20451",70400030303,11090,0,NA,0,NA
"20452",101900070102,11090,0,NA,0,NA
"20453",160401010805,11090,0,NA,0,NA
"20454",70802010901,11090,0,NA,0,NA
"20455",50800030711,11090,0,NA,0,NA
"20456",103001021201,11091,0,NA,0,NA
"20457",51402020201,11091,0,NA,0,NA
"20458",20503020103,11091,0,NA,0,NA
"20459",171100210204,11091,0,NA,0,NA
"20460",31700080402,11091,0,NA,0,NA
"20461",60101030507,11091,0,NA,0,NA
"20462",70700030804,11093,0,NA,0,NA
"20463",51002010705,11094,0,NA,0,NA
"20464",70700040108,11094,0,NA,0,NA
"20465",180300060501,11094,0,NA,0,NA
"20466",31601060303,11095,0,NA,0,NA
"20467",111101050802,11095,0,NA,0,NA
"20468",150803010203,11095,0,NA,0,NA
"20469",50701020309,11096,0,NA,0,NA
"20470",100800150901,11096,0,NA,0,NA
"20471",50400011103,11097,0,NA,0,NA
"20472",51201061202,11097,0,NA,0,NA
"20473",160201010701,11097,0,NA,0,NA
"20474",100301031001,11099,0,NA,0,NA
"20475",20403020103,11099,0,NA,0,NA
"20476",101500040501,11099,0,NA,0,NA
"20477",10100020203,11099,0,NA,0,NA
"20478",31501050105,11100,0,NA,0,NA
"20479",70101080206,11100,0,NA,0,NA
"20480",50301010604,11101,0,NA,0,NA
"20481",120100041105,11101,0,NA,0,NA
"20482",102500050504,11101,0,NA,0,NA
"20483",102300031508,11102,0,NA,0,NA
"20484",51002030201,11102,0,NA,0,NA
"20485",170602010905,11102,0,NA,0,NA
"20486",90201081102,11102,0,NA,0,NA
"20487",10100050103,11103,0,NA,0,NA
"20488",51201011406,11104,0,NA,0,NA
"20489",170402100402,11104,0,NA,0,NA
"20490",102702020408,11105,0,NA,0,NA
"20491",170402020103,11105,0,NA,0,NA
"20492",10200020303,11106,0,NA,0,NA
"20493",80202040204,11107,0,NA,0,NA
"20494",50901010502,11107,0,NA,0,NA
"20495",150200050404,11107,0,NA,0,NA
"20496",150200130301,11107,0,NA,0,NA
"20497",130500011101,11108,0,NA,0,NA
"20498",31401070103,11108,0,NA,0,NA
"20499",10100040802,11108,0,NA,0,NA
"20500",140300010301,11108,0,NA,0,NA
"20501",150601060113,11108,0,NA,0,NA
"20502",130100030501,11109,0,NA,0,NA
"20503",171001020301,11109,0,NA,0,NA
"20504",10600030901,11109,0,NA,0,NA
"20505",170101010406,11110,0,NA,0,NA
"20506",51002030601,11110,0,NA,0,NA
"20507",101303060105,11111,0,NA,0,NA
"20508",41000060404,11112,0,NA,0,NA
"20509",160402020702,11112,0,NA,0,NA
"20510",51100050502,11113,0,NA,0,NA
"20511",110500020404,11113,0,NA,0,NA
"20512",171001060201,11113,0,NA,0,NA
"20513",110100060702,11114,0,NA,0,NA
"20514",140801070211,11114,0,NA,0,NA
"20515",51202040804,11115,0,NA,0,NA
"20516",70801030404,11117,0,NA,0,NA
"20517",30300060408,11118,0,NA,0,NA
"20518",41402011401,11118,0,NA,0,NA
"20519",20402030803,11118,0,NA,0,NA
"20520",140300030111,11118,0,NA,0,NA
"20521",160203090504,11118,0,NA,0,NA
"20522",51002030204,11119,0,NA,0,NA
"20523",160501030504,11119,0,NA,0,NA
"20524",20501050603,11120,0,NA,0,NA
"20525",130201020102,11120,0,NA,0,NA
"20526",101800091204,11121,0,NA,0,NA
"20527",150200070506,11121,0,NA,0,NA
"20528",101500060402,11121,0,NA,0,NA
"20529",130302021805,11122,0,NA,0,NA
"20530",121101050709,11122,0,NA,0,NA
"20531",111102060202,11122,0,NA,0,NA
"20532",160300020407,11123,0,NA,0,NA
"20533",101201130504,11125,0,NA,0,NA
"20534",101303040504,11125,0,NA,0,NA
"20535",110901020701,11125,0,NA,0,NA
"20536",130202010505,11126,0,NA,0,NA
"20537",101303050509,11126,0,NA,0,NA
"20538",30201010901,11127,0,NA,0,NA
"20539",10802050301,11127,0,NA,0,NA
"20540",140600030201,11127,0,NA,0,NA
"20541",30602010606,11127,0,NA,0,NA
"20542",51002020104,11128,0,NA,0,NA
"20543",80802030206,11128,0,NA,0,NA
"20544",101702021101,11129,0,NA,0,NA
"20545",101701020405,11129,0,NA,0,NA
"20546",70900031004,11131,0,NA,0,NA
"20547",103001021504,11131,0,NA,0,NA
"20548",90202011201,11132,0,NA,0,NA
"20549",50600012002,11132,0,NA,0,NA
"20550",170602080504,11132,0,NA,0,NA
"20551",31402020901,11132,0,NA,0,NA
"20552",70802090804,11133,0,NA,0,NA
"20553",100200011305,11134,0,NA,0,NA
"20554",170800030301,11134,0,NA,0,NA
"20555",50100070701,11134,0,NA,0,NA
"20556",160300051704,11134,0,NA,0,NA
"20557",70300040204,11134,0,NA,0,NA
"20558",170602070102,11134,0,NA,0,NA
"20559",20503061105,11134,0,NA,0,NA
"20560",40900030311,11135,0,NA,0,NA
"20561",20503020105,11136,0,NA,0,NA
"20562",180200021103,11136,0,NA,0,NA
"20563",20503020801,11136,0,NA,0,NA
"20564",170602071107,11137,0,NA,0,NA
"20565",70500070705,11138,0,NA,0,NA
"20566",110702090301,11138,0,NA,0,NA
"20567",102701030106,11139,0,NA,0,NA
"20568",31300070105,11139,0,NA,0,NA
"20569",10200020501,11139,0,NA,0,NA
"20570",50302030103,11140,0,NA,0,NA
"20571",10600010603,11140,0,NA,0,NA
"20572",170501220103,11141,0,NA,0,NA
"20573",120200050704,11141,0,NA,0,NA
"20574",102400120707,11141,0,NA,0,NA
"20575",160300060301,11142,0,NA,0,NA
"20576",101102040506,11142,0,NA,0,NA
"20577",150200160201,11143,0,NA,0,NA
"20578",170102090506,11143,0,NA,0,NA
"20579",160600080303,11143,0,NA,0,NA
"20580",180201290103,11144,0,NA,0,NA
"20581",70102010701,11144,0,NA,0,NA
"20582",51201100404,11145,0,NA,0,NA
"20583",160102020203,11145,0,NA,0,NA
"20584",150602020506,11145,0,NA,0,NA
"20585",170402190202,11145,0,NA,0,NA
"20586",70900010101,11145,0,NA,0,NA
"20587",150801010203,11146,0,NA,0,NA
"20588",150200160705,11146,0,NA,0,NA
"20589",150100050701,11146,0,NA,0,NA
"20590",31401070203,11146,0,NA,0,NA
"20591",111302030603,11146,0,NA,0,NA
"20592",51302030307,11147,0,NA,0,NA
"20593",50600011703,11148,0,NA,0,NA
"20594",180400091202,11149,0,NA,0,NA
"20595",140401090107,11149,0,NA,0,NA
"20596",51202040103,11149,0,NA,0,NA
"20597",150502010603,11149,0,NA,0,NA
"20598",30601060705,11150,0,NA,0,NA
"20599",150200110204,11150,0,NA,0,NA
"20600",80302010802,11150,0,NA,0,NA
"20601",40802050103,11151,0,NA,0,NA
"20602",70802070311,11151,0,NA,0,NA
"20603",150200060705,11151,0,NA,0,NA
"20604",70500030302,11152,0,NA,0,NA
"20605",71300070604,11152,0,NA,0,NA
"20606",100600010205,11152,0,NA,0,NA
"20607",71000080301,11153,0,NA,0,NA
"20608",100800150103,11154,0,NA,0,NA
"20609",80403020803,11155,0,NA,0,NA
"20610",140600090705,11155,0,NA,0,NA
"20611",30201030304,11156,0,NA,0,NA
"20612",101900070305,11156,0,NA,0,NA
"20613",51201050401,11156,0,NA,0,NA
"20614",20700060603,11157,0,NA,0,NA
"20615",180901010602,11157,0,NA,0,NA
"20616",41000030603,11157,0,NA,0,NA
"20617",110800060706,11158,0,NA,0,NA
"20618",150302010807,11158,0,NA,0,NA
"20619",41503021002,11158,0,NA,0,NA
"20620",140500060305,11158,0,NA,0,NA
"20621",20502020401,11158,0,NA,0,NA
"20622",41503040405,11158,0,NA,0,NA
"20623",71000080606,11159,0,NA,0,NA
"20624",150400060101,11159,0,NA,0,NA
"20625",150100040908,11159,0,NA,0,NA
"20626",170300020201,11159,0,NA,0,NA
"20627",30701021202,11160,0,NA,0,NA
"20628",150100120503,11161,0,NA,0,NA
"20629",101702040605,11161,0,NA,0,NA
"20630",90203010101,11162,0,NA,0,NA
"20631",51402020107,11162,0,NA,0,NA
"20632",130500031204,11162,0,NA,0,NA
